name3 - album3_broken-heartv2.wav_stft.txt_vectors.txt
76 85 5 2
76 84 6 2
76 87 7 2
76 93 23 2
76 93 24 2
76 89 25 2
76 66 26 2
76 87 27 2
76 58 34 2
76 93 34 2
166 166 5 2
166 157 22 2
166 157 23 2
166 157 24 2
166 162 25 2
37 18 33 3
84 84 5 3
84 87 6 3
84 93 22 3
84 93 23 3
84 89 24 3
84 66 25 3
84 87 26 3
84 93 33 3
252 258 5 3
252 259 6 3
252 252 7 3
252 252 8 3
252 258 8 3
252 257 9 3
252 251 10 3
252 258 10 3
252 250 11 3
252 253 18 3
252 259 18 3
252 253 19 3
252 253 20 3
252 258 20 3
252 259 21 3
252 258 22 3
252 258 23 3
252 259 25 3
252 259 26 3
252 249 28 3
252 247 31 3
252 249 32 3
252 249 33 3
252 234 34 3
293 312 15 3
293 290 19 3
293 301 34 3
84 87 5 4
84 93 21 4
84 93 22 4
84 89 23 4
84 66 24 4
84 87 25 4
84 93 32 4
252 259 5 4
252 252 6 4
252 252 7 4
252 258 7 4
252 257 8 4
252 251 9 4
252 258 9 4
252 250 10 4
252 253 17 4
252 259 17 4
252 253 18 4
252 253 19 4
252 258 19 4
252 259 20 4
252 258 21 4
252 258 22 4
252 259 24 4
252 259 25 4
252 249 27 4
252 247 30 4
252 249 31 4
252 249 32 4
252 234 33 4
252 249 34 4
292 290 18 4
292 301 33 4
292 301 34 4
84 93 20 5
84 93 21 5
84 89 22 5
84 66 23 5
84 87 24 5
84 93 31 5
250 252 5 5
250 252 6 5
250 258 6 5
250 257 7 5
250 251 8 5
250 258 8 5
250 250 9 5
250 253 16 5
250 259 16 5
250 253 17 5
250 253 18 5
250 258 18 5
250 259 19 5
250 258 20 5
250 258 21 5
250 259 23 5
250 259 24 5
250 249 26 5
250 247 29 5
250 249 30 5
250 249 31 5
250 234 32 5
250 249 33 5
250 234 34 5
268 252 5 5
268 252 6 5
268 258 6 5
268 257 7 5
268 251 8 5
268 258 8 5
268 250 9 5
268 253 16 5
268 259 16 5
268 253 17 5
268 253 18 5
268 258 18 5
268 259 19 5
268 258 20 5
268 258 21 5
268 259 23 5
268 259 24 5
268 249 26 5
268 249 30 5
268 249 31 5
268 249 33 5
84 93 19 6
84 93 20 6
84 89 21 6
84 66 22 6
84 87 23 6
84 93 30 6
223 234 31 6
223 234 33 6
293 312 12 6
293 290 16 6
293 301 31 6
293 301 32 6
293 300 33 6
293 284 34 6
85 93 18 7
85 93 19 7
85 89 20 7
85 66 21 7
85 87 22 7
85 93 29 7
166 157 17 7
166 157 18 7
166 157 19 7
166 162 20 7
305 317 7 7
305 316 8 7
305 316 9 7
305 316 10 7
305 312 11 7
305 316 12 7
305 316 13 7
305 290 15 7
305 319 20 7
305 317 23 7
305 319 24 7
305 319 27 7
305 319 28 7
305 301 30 7
305 301 31 7
305 300 32 7
305 287 34 7
84 93 17 8
84 93 18 8
84 89 19 8
84 66 20 8
84 87 21 8
84 93 28 8
258 251 5 8
258 258 5 8
258 250 6 8
258 253 13 8
258 259 13 8
258 253 14 8
258 253 15 8
258 258 15 8
258 259 16 8
258 258 17 8
258 258 18 8
258 259 20 8
258 259 21 8
258 249 23 8
258 247 26 8
258 249 27 8
258 249 28 8
258 249 30 8
258 247 34 8
87 93 16 9
87 93 17 9
87 89 18 9
87 87 20 9
87 93 27 9
259 250 5 9
259 253 12 9
259 259 12 9
259 253 13 9
259 253 14 9
259 258 14 9
259 259 15 9
259 258 16 9
259 258 17 9
259 259 19 9
259 259 20 9
259 249 22 9
259 247 25 9
259 249 26 9
259 249 27 9
259 249 29 9
259 247 33 9
252 253 11 10
252 259 11 10
252 253 12 10
252 253 13 10
252 258 13 10
252 259 14 10
252 258 15 10
252 258 16 10
252 259 18 10
252 259 19 10
252 249 21 10
252 247 24 10
252 249 25 10
252 249 26 10
252 234 27 10
252 249 28 10
252 234 29 10
252 247 32 10
316 316 5 10
316 316 6 10
316 316 7 10
316 312 8 10
316 316 9 10
316 316 10 10
316 319 17 10
316 317 20 10
316 319 21 10
316 319 24 10
316 319 25 10
316 301 27 10
316 301 28 10
316 300 29 10
316 301 32 10
316 311 33 10
252 253 10 11
252 259 10 11
252 253 11 11
252 253 12 11
252 258 12 11
252 259 13 11
252 258 14 11
252 258 15 11
252 259 17 11
252 259 18 11
252 249 20 11
252 247 23 11
252 249 24 11
252 249 25 11
252 234 26 11
252 249 27 11
252 234 28 11
252 247 31 11
252 234 34 11
258 253 10 11
258 259 10 11
258 253 11 11
258 253 12 11
258 258 12 11
258 259 13 11
258 258 14 11
258 258 15 11
258 259 17 11
258 259 18 11
258 249 20 11
258 247 23 11
258 249 24 11
258 249 25 11
258 249 27 11
258 247 31 11
257 253 9 12
257 259 9 12
257 253 10 12
257 253 11 12
257 258 11 12
257 259 12 12
257 258 13 12
257 258 14 12
257 259 16 12
257 259 17 12
257 249 19 12
257 247 22 12
257 249 23 12
257 249 24 12
257 249 26 12
257 247 30 12
251 253 8 13
251 259 8 13
251 253 9 13
251 253 10 13
251 258 10 13
251 259 11 13
251 258 12 13
251 258 13 13
251 259 15 13
251 259 16 13
251 249 18 13
251 247 21 13
