name3 - album3_broken-heartv2.wav_stft.txt_vectors.txt
16 16 2 1
16 16 3 1
16 16 4 1
16 0 17 1
16 2 17 1
16 9 17 1
16 17 17 1
16 35 17 1
16 0 19 1
16 2 19 1
16 3 19 1
16 16 19 1
16 18 25 1
16 9 28 1
16 33 28 1
16 16 2 2
16 16 3 2
16 0 16 2
16 2 16 2
16 9 16 2
16 17 16 2
16 35 16 2
16 0 18 2
16 2 18 2
16 3 18 2
16 16 18 2
16 18 24 2
16 9 27 2
16 33 27 2
16 0 31 2
16 18 31 2
49 61 2 2
49 51 4 2
49 62 6 2
49 63 6 2
49 62 7 2
49 61 8 2
49 63 8 2
49 50 9 2
49 36 10 2
49 36 11 2
49 62 15 2
49 35 16 2
49 60 17 2
49 43 20 2
49 62 22 2
49 36 23 2
49 59 24 2
49 33 27 2
49 36 31 2
16 16 2 3
16 0 15 3
16 2 15 3
16 9 15 3
16 17 15 3
16 35 15 3
16 0 17 3
16 2 17 3
16 3 17 3
16 16 17 3
16 18 23 3
16 9 26 3
16 33 26 3
16 0 30 3
16 18 30 3
51 51 3 3
51 62 5 3
51 63 5 3
51 62 6 3
51 61 7 3
51 63 7 3
51 50 8 3
51 36 9 3
51 36 10 3
51 62 14 3
51 35 15 3
51 60 16 3
51 43 19 3
51 62 21 3
51 36 22 3
51 59 23 3
51 33 26 3
51 36 30 3
51 41 31 3
16 0 14 4
16 2 14 4
16 9 14 4
16 17 14 4
16 35 14 4
16 0 16 4
16 2 16 4
16 3 16 4
16 16 16 4
16 18 22 4
16 9 25 4
16 33 25 4
16 0 29 4
16 18 29 4
61 51 2 4
61 62 4 4
61 63 4 4
61 62 5 4
61 61 6 4
61 63 6 4
61 50 7 4
61 62 13 4
61 60 15 4
61 43 18 4
61 62 20 4
61 59 22 4
61 41 30 4
61 59 31 4
16 0 13 5
16 2 13 5
16 9 13 5
16 17 13 5
16 35 13 5
16 0 15 5
16 2 15 5
16 3 15 5
16 16 15 5
16 18 21 5
16 9 24 5
16 33 24 5
16 0 28 5
16 18 28 5
16 20 31 5
51 62 2 6
51 63 2 6
51 62 3 6
51 61 4 6
51 63 4 6
