snippetList_name2 - album2_life-after-youv2_cut1mobile.wav_stft.txt_vectors.txt
65 68 32 4
65 49 33 4
65 81 34 4
78 96 12 5
78 85 14 5
78 71 15 5
78 82 16 5
78 68 31 5
78 81 33 5
105 98 5 6
105 113 6 6
105 120 10 6
105 96 11 6
105 107 12 6
105 85 13 6
105 113 17 6
105 121 18 6
105 113 19 6
105 121 20 6
105 121 22 6
105 121 23 6
105 111 24 6
105 122 25 6
105 116 29 6
100 113 5 7
100 96 10 7
100 107 11 7
100 85 12 7
100 82 14 7
100 113 16 7
100 113 18 7
100 111 23 7
100 116 28 7
100 81 31 7
53 47 7 9
53 34 11 9
53 71 11 9
53 48 19 9
53 48 21 9
53 47 23 9
53 68 27 9
53 49 28 9
53 36 29 9
53 37 32 9
69 85 10 9
69 71 11 9
69 82 12 9
69 68 27 9
69 49 28 9
69 81 29 9
69 74 32 9
12 5 9 10
12 22 10 10
12 15 11 10
12 4 13 10
12 6 14 10
12 17 14 10
12 5 15 10
12 17 15 10
12 23 16 10
12 23 17 10
12 17 18 10
12 13 19 10
12 15 20 10
12 13 23 10
12 30 25 10
12 14 26 10
12 23 26 10
12 31 26 10
12 25 27 10
26 22 10 10
26 34 10 10
26 15 11 10
26 6 14 10
26 17 14 10
26 17 15 10
26 23 16 10
26 23 17 10
26 17 18 10
26 13 19 10
26 15 20 10
26 13 23 10
26 30 25 10
26 14 26 10
26 23 26 10
26 31 26 10
26 25 27 10
26 36 28 10
26 37 31 10
41 47 6 10
41 22 10 10
41 34 10 10
41 23 16 10
41 23 17 10
41 48 18 10
41 48 20 10
41 47 22 10
41 30 25 10
41 23 26 10
41 31 26 10
41 25 27 10
41 49 27 10
41 36 28 10
41 37 31 10
41 56 34 10
101 120 6 10
101 96 7 10
101 107 8 10
101 85 9 10
101 82 11 10
101 113 13 10
101 113 15 10
101 111 20 10
101 116 25 10
101 81 28 10
4 5 8 11
4 22 9 11
4 15 10 11
4 4 12 11
4 6 13 11
4 17 13 11
4 5 14 11
4 17 14 11
4 23 15 11
4 23 16 11
4 17 17 11
4 13 18 11
4 15 19 11
4 13 22 11
4 14 25 11
4 23 25 11
4 9 34 11
98 96 6 11
98 107 7 11
98 85 8 11
98 82 10 11
98 113 12 11
98 113 14 11
98 111 19 11
98 116 24 11
98 81 27 11
17 5 7 12
17 22 8 12
17 34 8 12
17 15 9 12
17 4 11 12
17 6 12 12
17 17 12 12
17 5 13 12
17 17 13 12
17 23 14 12
17 23 15 12
17 17 16 12
17 13 17 12
17 15 18 12
17 13 21 12
17 30 23 12
17 14 24 12
17 23 24 12
17 31 24 12
17 25 25 12
17 36 26 12
17 9 33 12
113 96 5 12
113 107 6 12
113 113 11 12
113 121 12 12
113 113 13 12
113 121 14 12
113 121 16 12
113 121 17 12
113 111 18 12
113 122 19 12
113 127 19 12
113 126 21 12
113 116 23 12
113 127 23 12
113 124 30 12
6 5 6 13
6 22 7 13
6 15 8 13
6 4 10 13
6 6 11 13
6 17 11 13
6 5 12 13
6 17 12 13
6 23 13 13
6 23 14 13
6 17 15 13
6 13 16 13
6 15 17 13
6 13 20 13
6 14 23 13
6 23 23 13
6 25 24 13
6 9 32 13
7 5 6 13
7 22 7 13
7 15 8 13
7 4 10 13
7 6 11 13
7 17 11 13
7 5 12 13
7 17 12 13
7 23 13 13
7 23 14 13
7 17 15 13
7 13 16 13
7 15 17 13
7 13 20 13
7 14 23 13
7 23 23 13
7 25 24 13
7 9 32 13
47 48 12 16
47 48 14 16
47 47 16 16
47 30 19 16
47 31 20 16
47 49 21 16
47 36 22 16
47 37 25 16
47 56 28 16
47 39 31 16
47 45 32 16
120 113 7 16
120 121 8 16
120 113 9 16
120 121 10 16
120 121 12 16
120 121 13 16
120 111 14 16
120 122 15 16
120 127 15 16
120 126 17 16
120 116 19 16
120 127 19 16
120 124 26 16
120 108 32 16
96 113 6 17
96 113 8 17
96 111 13 17
96 81 21 17
96 82 30 17
96 108 31 17
107 113 5 18
107 121 6 18
107 113 7 18
107 121 8 18
107 121 10 18
107 121 11 18
107 111 12 18
107 122 13 18
107 126 15 18
107 116 17 18
107 124 24 18
107 108 30 18
5 6 5 19
5 17 5 19
5 5 6 19
5 17 6 19
5 23 7 19
5 23 8 19
5 17 9 19
5 13 10 19
5 15 11 19
5 13 14 19
5 14 17 19
5 23 17 19
5 9 26 19
5 4 31 19
5 12 34 19
5 15 34 19
85 68 17 19
85 81 19 19
85 74 22 19
85 67 25 19
85 72 26 19
85 73 27 19
85 82 28 19
85 70 31 19
85 80 34 19
22 5 5 20
22 17 5 20
22 23 6 20
22 23 7 20
22 17 8 20
22 13 9 20
22 15 10 20
22 13 13 20
22 30 15 20
22 14 16 20
22 23 16 20
22 31 16 20
22 25 17 20
22 36 18 20
22 37 21 20
22 9 25 20
22 39 27 20
22 4 30 20
22 12 33 20
22 15 33 20
22 17 34 20
34 17 5 20
34 23 6 20
34 23 7 20
34 17 8 20
34 48 8 20
34 15 10 20
34 48 10 20
34 47 12 20
34 30 15 20
34 14 16 20
34 23 16 20
34 31 16 20
34 25 17 20
34 49 17 20
34 36 18 20
34 37 21 20
34 39 27 20
34 45 28 20
34 15 33 20
34 17 34 20
71 68 16 20
71 81 18 20
71 74 21 20
71 56 24 20
71 67 24 20
71 72 25 20
71 73 26 20
71 82 27 20
71 70 30 20
71 80 33 20
15 23 5 21
15 23 6 21
15 17 7 21
15 13 8 21
15 15 9 21
15 13 12 21
15 30 14 21
15 14 15 21
15 23 15 21
15 31 15 21
15 25 16 21
15 9 24 21
15 4 29 21
15 12 32 21
15 15 32 21
15 1 33 21
15 17 33 21
15 3 34 21
15 23 34 21
82 68 15 21
82 81 17 21
82 74 20 21
82 67 23 21
82 72 24 21
82 73 25 21
82 82 26 21
82 70 29 21
82 80 32 21
82 97 33 21
4 17 5 23
4 13 6 23
4 15 7 23
4 13 10 23
4 14 13 23
4 23 13 23
4 9 22 23
4 4 27 23
4 12 30 23
4 15 30 23
4 1 31 23
4 17 31 23
4 3 32 23
4 23 32 23
4 23 33 23
113 121 5 23
113 121 6 23
113 111 7 23
113 122 8 23
113 127 8 23
113 126 10 23
113 116 12 23
113 127 12 23
113 124 19 23
113 108 25 23
113 97 31 23
113 125 32 23
113 121 34 23
6 13 5 24
6 15 6 24
6 13 9 24
6 14 12 24
6 23 12 24
6 25 13 24
6 9 21 24
6 4 26 24
6 12 29 24
6 15 29 24
6 1 30 24
6 17 30 24
6 3 31 24
6 23 31 24
6 23 32 24
17 13 5 24
17 15 6 24
17 13 9 24
17 30 11 24
17 14 12 24
17 23 12 24
17 31 12 24
17 25 13 24
17 36 14 24
17 9 21 24
17 4 26 24
17 12 29 24
17 15 29 24
17 1 30 24
17 17 30 24
17 3 31 24
17 23 31 24
17 23 32 24
17 35 34 24
121 121 5 24
121 111 6 24
121 122 7 24
121 127 7 24
121 126 9 24
121 116 11 24
121 127 11 24
121 124 18 24
121 108 24 24
121 125 31 24
121 121 33 24
121 113 34 24
5 15 5 25
5 13 8 25
5 14 11 25
5 23 11 25
5 9 20 25
5 4 25 25
5 12 28 25
5 15 28 25
5 1 29 25
5 17 29 25
5 3 30 25
5 23 30 25
5 23 31 25
5 22 34 25
17 15 5 25
17 13 8 25
17 30 10 25
17 14 11 25
17 23 11 25
17 31 11 25
17 25 12 25
17 36 13 25
17 9 20 25
17 4 25 25
17 12 28 25
17 15 28 25
17 1 29 25
17 17 29 25
17 3 30 25
17 23 30 25
17 23 31 25
17 35 33 25
17 22 34 25
113 111 5 25
113 122 6 25
113 127 6 25
113 126 8 25
113 116 10 25
113 127 10 25
113 124 17 25
113 108 23 25
113 97 29 25
113 125 30 25
113 121 32 25
113 113 33 25
23 13 7 26
23 30 9 26
23 14 10 26
23 23 10 26
23 31 10 26
23 25 11 26
23 36 12 26
23 37 15 26
23 9 19 26
23 39 21 26
23 4 24 26
23 12 27 26
23 15 27 26
23 17 28 26
23 3 29 26
23 23 29 26
23 23 30 26
23 35 32 26
23 22 33 26
23 26 34 26
121 122 5 26
121 127 5 26
121 126 7 26
121 116 9 26
121 127 9 26
121 124 16 26
121 108 22 26
121 125 29 26
121 121 31 26
121 113 32 26
121 121 34 26
23 13 6 27
23 30 8 27
23 14 9 27
23 23 9 27
23 31 9 27
23 25 10 27
23 36 11 27
23 37 14 27
23 9 18 27
23 39 20 27
23 4 23 27
23 12 26 27
23 15 26 27
23 17 27 27
23 3 28 27
23 23 28 27
23 23 29 27
23 35 31 27
23 22 32 27
23 26 33 27
17 13 5 28
17 30 7 28
17 14 8 28
17 23 8 28
17 31 8 28
17 25 9 28
17 36 10 28
17 9 17 28
17 4 22 28
17 12 25 28
17 15 25 28
17 1 26 28
17 17 26 28
17 3 27 28
17 23 27 28
17 23 28 28
17 35 30 28
17 22 31 28
17 26 32 28
17 0 34 28
17 2 34 28
17 17 34 28
48 30 7 28
48 31 8 28
48 49 9 28
48 36 10 28
48 37 13 28
48 56 16 28
48 67 16 28
48 39 19 28
48 45 20 28
48 61 27 28
48 44 28 28
48 66 28 28
48 35 30 28
121 126 5 28
121 116 7 28
121 127 7 28
121 124 14 28
121 108 20 28
121 125 27 28
121 121 29 28
121 113 30 28
121 121 32 28
13 30 6 29
13 14 7 29
13 23 7 29
13 31 7 29
13 25 8 29
13 9 16 29
13 4 21 29
13 12 24 29
13 15 24 29
13 1 25 29
13 17 25 29
13 3 26 29
13 23 26 29
13 23 27 29
13 22 30 29
13 26 31 29
13 0 33 29
13 2 33 29
13 17 33 29
13 29 34 29
121 116 6 29
121 127 6 29
121 124 13 29
121 108 19 29
121 125 26 29
121 121 28 29
121 113 29 29
121 121 31 29
121 124 34 29
15 30 5 30
15 14 6 30
15 23 6 30
15 31 6 30
15 25 7 30
15 9 15 30
15 4 20 30
15 12 23 30
15 15 23 30
15 1 24 30
15 17 24 30
15 3 25 30
15 23 25 30
15 23 26 30
15 22 29 30
15 26 30 30
15 0 32 30
15 2 32 30
15 17 32 30
15 29 33 30
48 30 5 30
48 31 6 30
48 49 7 30
48 36 8 30
48 37 11 30
48 56 14 30
48 67 14 30
48 39 17 30
48 45 18 30
48 61 25 30
48 44 26 30
48 66 26 30
48 35 28 30
48 29 33 30
48 53 33 30
111 116 5 30
111 127 5 30
111 124 12 30
111 108 18 30
111 97 24 30
111 125 25 30
111 121 27 30
111 113 28 30
111 121 30 30
111 124 33 30
111 124 34 30
122 124 11 31
122 108 17 31
122 125 24 31
122 121 26 31
122 113 27 31
122 121 29 31
122 124 32 31
122 124 33 31
122 126 34 31
127 124 11 31
127 108 17 31
127 125 24 31
127 121 26 31
127 113 27 31
127 121 29 31
127 124 32 31
127 124 33 31
127 126 34 31
47 49 5 32
47 36 6 32
47 37 9 32
47 56 12 32
47 39 15 32
47 45 16 32
47 61 23 32
47 44 24 32
47 66 24 32
47 35 26 32
47 29 31 32
47 53 31 32
13 9 12 33
13 4 17 33
13 12 20 33
13 15 20 33
13 1 21 33
13 17 21 33
13 3 22 33
13 23 22 33
13 23 23 33
13 22 26 33
13 26 27 33
13 0 29 33
13 2 29 33
13 17 29 33
13 29 30 33
13 4 32 33
13 13 32 33
13 13 33 33
13 4 34 33
13 18 34 33
126 124 9 33
126 108 15 33
126 125 22 33
126 121 24 33
126 113 25 33
126 121 27 33
126 124 30 33
126 124 31 33
126 126 32 33
30 37 6 35
30 39 12 35
30 45 13 35
30 12 18 35
30 15 18 35
30 17 19 35
30 23 20 35
30 23 21 35
30 44 21 35
30 35 23 35
30 22 24 35
30 26 25 35
30 17 27 35
30 29 28 35
30 13 30 35
30 13 31 35
30 18 32 35
116 124 7 35
116 108 13 35
116 97 19 35
116 125 20 35
116 121 22 35
116 113 23 35
116 121 25 35
116 124 28 35
116 124 29 35
116 126 30 35
127 124 7 35
127 108 13 35
127 125 20 35
127 121 22 35
127 113 23 35
127 121 25 35
127 124 28 35
127 124 29 35
127 126 30 35
14 9 9 36
14 4 14 36
14 12 17 36
14 15 17 36
14 1 18 36
14 17 18 36
14 3 19 36
14 23 19 36
14 23 20 36
14 22 23 36
14 26 24 36
14 0 26 36
14 2 26 36
14 17 26 36
14 29 27 36
14 4 29 36
14 13 29 36
14 13 30 36
14 4 31 36
14 18 31 36
14 21 34 36
23 37 5 36
23 9 9 36
23 39 11 36
23 4 14 36
23 12 17 36
23 15 17 36
23 17 18 36
23 3 19 36
23 23 19 36
23 23 20 36
23 35 22 36
23 22 23 36
23 26 24 36
23 17 26 36
23 29 27 36
23 4 29 36
23 13 29 36
23 13 30 36
23 4 31 36
23 18 31 36
23 21 34 36
31 37 5 36
31 39 11 36
31 45 12 36
31 12 17 36
31 15 17 36
31 17 18 36
31 23 19 36
31 23 20 36
31 44 20 36
31 35 22 36
31 22 23 36
31 26 24 36
31 17 26 36
31 29 27 36
31 13 29 36
31 13 30 36
31 18 31 36
31 21 34 36
68 74 5 36
68 56 8 36
68 67 8 36
68 72 9 36
68 73 10 36
68 82 11 36
68 70 14 36
68 80 17 36
68 61 19 36
68 66 20 36
68 84 23 36
68 53 27 36
68 77 30 36
25 9 8 37
25 39 10 37
25 12 16 37
25 15 16 37
25 17 17 37
25 23 18 37
25 23 19 37
25 44 19 37
25 35 21 37
25 22 22 37
25 26 23 37
25 17 25 37
25 29 26 37
25 13 28 37
25 13 29 37
25 18 30 37
25 21 33 37
49 56 7 37
49 67 7 37
49 39 10 37
49 45 11 37
49 61 18 37
49 44 19 37
49 66 19 37
49 35 21 37
49 29 26 37
49 53 26 37
36 39 9 38
36 45 10 38
36 17 16 38
36 23 17 38
36 23 18 38
36 44 18 38
36 35 20 38
36 22 21 38
36 26 22 38
36 17 24 38
36 29 25 38
36 53 25 38
36 18 29 38
36 21 32 38
81 67 6 38
81 72 7 38
81 73 8 38
81 82 9 38
81 70 12 38
81 80 15 38
81 97 16 38
81 61 17 38
81 66 18 38
81 84 21 38
81 77 28 38
81 91 29 38
37 39 6 41
37 45 7 41
37 17 13 41
37 23 14 41
37 23 15 41
37 44 15 41
37 35 17 41
37 22 18 41
37 26 19 41
37 17 21 41
37 29 22 41
37 53 22 41
37 18 26 41
37 21 29 41
37 38 32 41
37 19 34 41
37 35 34 41
74 73 5 41
74 82 6 41
74 70 9 41
74 80 12 41
74 61 14 41
74 66 15 41
74 84 18 41
74 77 25 41
74 91 26 41
74 63 32 41
124 108 6 42
124 125 13 42
124 121 15 42
124 113 16 42
124 121 18 42
124 124 21 42
124 124 22 42
124 126 23 42
124 126 30 42
124 109 32 42
124 127 33 42
124 121 34 42
56 70 6 44
56 61 11 44
56 44 12 44
56 66 12 44
56 53 19 44
56 38 29 44
56 63 29 44
56 46 34 44
56 71 34 44
67 70 6 44
67 80 9 44
67 61 11 44
67 66 12 44
67 84 15 44
67 53 19 44
67 77 22 44
67 63 29 44
67 71 34 44
9 4 5 45
9 12 8 45
9 15 8 45
9 1 9 45
9 17 9 45
9 3 10 45
9 23 10 45
9 23 11 45
9 22 14 45
9 26 15 45
9 0 17 45
9 2 17 45
9 17 17 45
9 4 20 45
9 13 20 45
9 13 21 45
9 4 22 45
9 18 22 45
9 21 25 45
9 0 26 45
9 4 28 45
9 10 28 45
9 19 30 45
9 5 31 45
9 6 34 45
72 70 5 45
72 80 8 45
72 61 10 45
72 66 11 45
72 84 14 45
72 53 18 45
72 77 21 45
72 91 22 45
72 63 28 45
72 71 33 45
73 80 7 46
73 61 9 46
73 66 10 46
73 84 13 46
73 53 17 46
73 77 20 46
73 91 21 46
73 63 27 46
73 71 32 46
39 23 8 47
39 23 9 47
39 44 9 47
39 35 11 47
39 22 12 47
39 26 13 47
39 29 16 47
39 53 16 47
39 21 23 47
39 38 26 47
39 19 28 47
39 35 28 47
39 46 31 47
82 80 6 47
82 97 7 47
82 66 9 47
82 84 12 47
82 77 19 47
82 91 20 47
82 63 26 47
82 97 28 47
82 97 30 47
82 71 31 47
82 94 32 47
45 61 7 48
45 44 8 48
45 35 10 48
45 26 12 48
45 29 15 48
45 53 15 48
45 38 25 48
45 63 25 48
45 35 27 48
45 46 30 48
108 97 6 48
108 125 7 48
108 121 9 48
108 113 10 48
108 121 12 48
108 124 15 48
108 124 16 48
108 126 17 48
108 91 19 48
108 103 22 48
108 126 24 48
108 109 26 48
108 97 27 48
108 127 27 48
108 121 28 48
108 97 29 48
108 94 31 48
4 3 5 50
4 23 5 50
4 23 6 50
4 22 9 50
4 0 12 50
4 2 12 50
4 17 12 50
4 4 15 50
4 13 15 50
4 13 16 50
4 4 17 50
4 18 17 50
4 21 20 50
4 0 21 50
4 4 23 50
4 10 23 50
4 19 25 50
4 5 26 50
4 6 29 50
70 61 5 50
70 66 6 50
70 84 9 50
70 53 13 50
70 77 16 50
70 63 23 50
70 71 28 50
12 22 6 53
12 26 7 53
12 0 9 53
12 2 9 53
12 17 9 53
12 29 10 53
12 4 12 53
12 13 12 53
12 13 13 53
12 4 14 53
12 18 14 53
12 21 17 53
12 0 18 53
12 4 20 53
12 10 20 53
12 19 22 53
12 5 23 53
12 6 26 53
15 22 6 53
15 26 7 53
15 0 9 53
15 2 9 53
15 17 9 53
15 29 10 53
15 4 12 53
15 13 12 53
15 13 13 53
15 4 14 53
15 18 14 53
15 21 17 53
15 0 18 53
15 4 20 53
15 10 20 53
15 19 22 53
15 5 23 53
15 6 26 53
80 84 6 53
80 77 13 53
80 91 14 53
80 63 20 53
80 97 22 53
80 97 24 53
80 71 25 53
80 94 26 53
1 0 8 54
1 2 8 54
1 17 8 54
1 4 11 54
1 13 11 54
1 13 12 54
1 4 13 54
1 18 13 54
1 0 17 54
1 4 19 54
1 10 19 54
1 19 21 54
1 5 22 54
1 6 25 54
17 22 5 54
17 26 6 54
17 0 8 54
17 2 8 54
17 17 8 54
17 29 9 54
17 4 11 54
17 13 11 54
17 13 12 54
17 4 13 54
17 18 13 54
17 21 16 54
17 0 17 54
17 4 19 54
17 10 19 54
17 19 21 54
17 35 21 54
17 5 22 54
17 6 25 54
97 84 5 54
97 77 12 54
97 91 13 54
97 103 16 54
97 109 20 54
97 97 21 54
97 97 23 54
97 94 25 54
3 0 7 55
3 2 7 55
3 17 7 55
3 4 10 55
3 13 10 55
3 13 11 55
3 4 12 55
3 18 12 55
3 21 15 55
3 0 16 55
3 4 18 55
3 10 18 55
3 19 20 55
3 5 21 55
3 6 24 55
23 26 5 55
23 17 7 55
23 29 8 55
23 4 10 55
23 13 10 55
23 13 11 55
23 4 12 55
23 18 12 55
23 21 15 55
23 4 18 55
23 10 18 55
23 38 18 55
23 19 20 55
23 35 20 55
23 5 21 55
23 6 24 55
61 53 8 55
61 77 11 55
61 63 18 55
61 46 23 55
61 71 23 55
125 121 5 55
125 124 8 55
125 124 9 55
125 126 10 55
125 126 17 55
125 109 19 55
125 127 20 55
125 121 21 55
23 17 6 56
23 29 7 56
23 4 9 56
23 13 9 56
23 13 10 56
23 4 11 56
23 18 11 56
23 21 14 56
23 4 17 56
23 10 17 56
23 38 17 56
23 19 19 56
23 35 19 56
23 5 20 56
23 6 23 56
44 29 7 56
44 53 7 56
44 38 17 56
44 63 17 56
44 35 19 56
44 46 22 56
66 53 7 56
66 77 10 56
66 63 17 56
66 46 22 56
66 71 22 56
121 124 6 57
121 124 7 57
121 126 8 57
121 103 13 57
121 126 15 57
121 109 17 57
121 127 18 57
121 121 19 57
35 29 5 58
35 53 5 58
35 18 9 58
35 21 12 58
35 38 15 58
35 19 17 58
35 35 17 58
35 46 20 58
113 124 5 58
113 124 6 58
113 126 7 58
113 103 12 58
113 126 14 58
113 109 16 58
113 97 17 58
113 127 17 58
113 121 18 58
113 97 19 58
113 94 21 58
22 4 6 59
22 13 6 59
22 13 7 59
22 4 8 59
22 18 8 59
22 21 11 59
22 4 14 59
22 10 14 59
22 38 14 59
22 19 16 59
22 35 16 59
22 5 17 59
22 6 20 59
84 77 7 59
84 91 8 59
84 103 11 59
84 97 16 59
84 97 18 59
84 71 19 59
84 94 20 59
26 13 5 60
26 13 6 60
26 18 7 60
26 21 10 60
26 10 13 60
26 38 13 60
26 19 15 60
26 35 15 60
26 6 19 60
121 126 5 60
121 103 10 60
121 126 12 60
121 109 14 60
121 127 15 60
121 121 16 60
0 4 5 62
0 18 5 62
0 0 9 62
0 4 11 62
0 10 11 62
0 19 13 62
0 5 14 62
0 6 17 62
2 4 5 62
2 18 5 62
2 21 8 62
2 0 9 62
2 4 11 62
2 10 11 62
2 19 13 62
2 5 14 62
2 6 17 62
17 4 5 62
17 18 5 62
17 21 8 62
17 0 9 62
17 4 11 62
17 10 11 62
17 19 13 62
17 35 13 62
17 5 14 62
17 6 17 62
29 21 7 63
29 10 10 63
29 38 10 63
29 19 12 63
29 35 12 63
29 46 15 63
53 38 10 63
53 63 10 63
53 35 12 63
53 46 15 63
53 71 15 63
124 126 9 63
124 109 11 63
124 127 12 63
124 121 13 63
124 126 8 64
124 109 10 64
124 127 11 64
124 121 12 64
4 21 5 65
4 0 6 65
4 4 8 65
4 10 8 65
4 19 10 65
4 5 11 65
4 6 14 65
13 21 5 65
13 0 6 65
13 4 8 65
13 10 8 65
13 19 10 65
13 5 11 65
13 6 14 65
126 126 7 65
126 109 9 65
126 127 10 65
126 121 11 65
13 0 5 66
13 4 7 66
13 10 7 66
13 19 9 66
13 5 10 66
13 6 13 66
77 63 7 66
77 71 12 66
77 94 13 66
4 4 6 67
4 10 6 67
4 19 8 67
4 5 9 67
4 6 12 67
18 4 6 67
18 10 6 67
18 19 8 67
18 35 8 67
18 5 9 67
18 6 12 67
91 109 7 67
91 97 8 67
91 97 10 67
91 71 11 67
91 94 12 67
21 19 5 70
21 35 5 70
21 5 6 70
21 6 9 70
103 97 5 70
103 121 6 70
103 97 7 70
103 94 9 70
0 5 5 71
0 6 8 71
4 6 6 73
10 6 6 73
38 46 5 73
63 46 5 73
63 71 5 73
109 94 5 74
snippetList_name2 - album2_uptown-funkv2_cut2.wav_stft.txt_vectors.txt
50 48 6 0
50 51 7 0
50 42 10 0
50 53 11 0
50 44 12 0
50 69 12 0
50 30 15 0
50 53 15 0
50 63 17 0
50 56 19 0
50 35 20 0
50 57 24 0
50 61 25 0
50 34 27 0
50 66 29 0
50 66 30 0
50 41 32 0
50 67 32 0
88 76 5 1
88 104 8 1
88 69 11 1
88 78 14 1
88 82 18 1
88 89 19 1
88 105 20 1
88 87 21 1
88 79 23 1
88 71 26 1
88 73 30 1
88 70 32 1
107 108 6 2
107 104 7 2
107 119 8 2
107 117 9 2
107 89 18 2
107 105 19 2
107 87 20 2
36 24 6 3
36 42 7 3
36 24 8 3
36 53 8 3
36 18 9 3
36 44 9 3
36 30 12 3
36 53 12 3
36 18 16 3
36 35 17 3
36 34 24 3
36 16 29 3
36 41 29 3
36 20 30 3
36 27 33 3
36 39 33 3
36 21 34 3
64 53 8 3
64 44 9 3
64 69 9 3
64 53 12 3
64 78 12 3
64 63 14 3
64 56 16 3
64 82 16 3
64 57 21 3
64 79 21 3
64 61 22 3
64 71 24 3
64 66 26 3
64 66 27 3
64 73 28 3
64 67 29 3
64 70 30 3
64 79 33 3
127 108 5 3
127 119 7 3
127 117 8 3
127 127 8 3
37 24 5 4
37 42 6 4
37 24 7 4
37 53 7 4
37 18 8 4
37 44 8 4
37 30 11 4
37 53 11 4
37 18 15 4
37 56 15 4
37 35 16 4
37 34 23 4
37 41 28 4
37 20 29 4
37 27 32 4
37 39 32 4
37 21 33 4
48 53 5 6
48 44 6 6
48 30 9 6
48 53 9 6
48 63 11 6
48 56 13 6
48 35 14 6
48 57 18 6
48 61 19 6
48 34 21 6
48 66 23 6
48 66 24 6
48 41 26 6
48 67 26 6
48 39 30 6
48 45 34 6
76 69 6 6
76 78 9 6
76 63 11 6
76 56 13 6
76 82 13 6
76 89 14 6
76 87 16 6
76 57 18 6
76 79 18 6
76 61 19 6
76 71 21 6
76 66 23 6
76 66 24 6
76 73 25 6
76 67 26 6
76 70 27 6
76 79 30 6
76 71 34 6
51 44 5 7
51 69 5 7
51 53 8 7
51 63 10 7
51 56 12 7
51 35 13 7
51 57 17 7
51 61 18 7
51 34 20 7
51 66 22 7
51 66 23 7
51 41 25 7
51 67 25 7
51 70 26 7
51 39 29 7
51 45 33 7
51 48 34 7
8 4 7 8
8 3 8 8
8 2 11 8
8 18 11 8
8 14 12 8
8 15 12 8
8 11 14 8
8 16 24 8
8 20 25 8
8 0 27 8
8 27 28 8
8 0 29 8
8 3 29 8
8 21 29 8
8 0 32 8
8 6 32 8
8 2 33 8
8 3 33 8
8 7 33 8
8 21 33 8
108 89 12 8
108 105 13 8
108 125 34 8
24 4 6 9
24 30 6 9
24 18 10 9
24 14 11 9
24 15 11 9
24 35 11 9
24 11 13 9
24 34 18 9
24 16 23 9
24 41 23 9
24 20 24 9
24 27 27 9
24 39 27 9
24 21 28 9
24 6 31 9
24 7 32 9
24 21 32 9
104 89 11 9
104 105 12 9
104 87 13 9
104 122 34 9
42 30 5 10
42 53 5 10
42 56 9 10
42 35 10 10
42 57 14 10
42 61 15 10
42 34 17 10
42 41 22 10
42 27 26 10
42 39 26 10
42 45 30 10
42 48 31 10
119 105 11 10
119 125 32 10
119 122 33 10
119 121 34 10
24 18 8 11
24 14 9 11
24 15 9 11
24 35 9 11
24 11 11 11
24 34 16 11
24 16 21 11
24 41 21 11
24 20 22 11
24 27 25 11
24 39 25 11
24 21 26 11
24 6 29 11
24 7 30 11
24 21 30 11
24 21 33 11
53 63 6 11
53 56 8 11
53 35 9 11
53 57 13 11
53 61 14 11
53 34 16 11
53 71 16 11
53 66 18 11
53 66 19 11
53 41 21 11
53 67 21 11
53 70 22 11
53 39 25 11
53 45 29 11
53 71 29 11
53 48 30 11
53 63 34 11
117 105 10 11
117 125 31 11
117 122 32 11
117 121 33 11
127 125 31 11
127 122 32 11
127 121 33 11
18 2 7 12
18 18 7 12
18 14 8 12
18 15 8 12
18 35 8 12
18 11 10 12
18 34 15 12
18 16 20 12
18 20 21 12
18 0 23 12
18 27 24 12
18 0 25 12
18 3 25 12
18 21 25 12
18 0 28 12
18 6 28 12
18 2 29 12
18 3 29 12
18 7 29 12
18 21 29 12
18 21 32 12
18 16 34 12
44 63 5 12
44 56 7 12
44 35 8 12
44 57 12 12
44 61 13 12
44 34 15 12
44 41 20 12
44 27 24 12
44 39 24 12
44 45 28 12
44 48 29 12
44 63 33 12
69 63 5 12
69 56 7 12
69 82 7 12
69 87 10 12
69 57 12 12
69 79 12 12
69 61 13 12
69 71 15 12
69 66 17 12
69 66 18 12
69 73 19 12
69 67 20 12
69 70 21 12
69 79 24 12
69 71 28 12
69 83 29 12
69 63 33 12
4 14 5 15
4 15 5 15
4 11 7 15
4 16 17 15
4 20 18 15
4 0 20 15
4 0 22 15
4 3 22 15
4 21 22 15
4 0 25 15
4 6 25 15
4 2 26 15
4 3 26 15
4 7 26 15
4 21 26 15
4 21 29 15
4 16 31 15
30 14 5 15
30 15 5 15
30 35 5 15
30 11 7 15
30 34 12 15
30 16 17 15
30 41 17 15
30 20 18 15
30 27 21 15
30 39 21 15
30 21 22 15
30 45 25 15
30 21 26 15
30 48 26 15
30 21 29 15
30 16 31 15
30 43 34 15
53 35 5 15
53 57 9 15
53 61 10 15
53 34 12 15
53 71 12 15
53 66 14 15
53 66 15 15
53 41 17 15
53 67 17 15
53 70 18 15
53 39 21 15
53 45 25 15
53 71 25 15
53 48 26 15
53 63 30 15
53 43 34 15
78 89 5 15
78 87 7 15
78 79 9 15
78 61 10 15
78 71 12 15
78 66 14 15
78 66 15 15
78 73 16 15
78 67 17 15
78 70 18 15
78 79 21 15
78 71 25 15
78 83 26 15
78 63 30 15
78 93 31 15
78 97 32 15
3 11 6 16
3 16 16 16
3 20 17 16
3 0 19 16
3 0 21 16
3 3 21 16
